Date,symbol,open,high,low,Adj Close,Volume ETH,Volume USDT,tradecount
6/10/2018 0:00,ETH/USDT,592.44,592.87,501.13,524.11,190350.5843,103749727.2,145196
6/11/2018 0:00,ETH/USDT,524.64,535.51,508.66,531.69,145813.0782,76462994.87,117598
6/12/2018 0:00,ETH/USDT,531.08,538.88,482,493,158223.1481,81341580.82,121424
6/13/2018 0:00,ETH/USDT,493,501.97,449.06,475.47,181842.1942,86416386.63,134718
6/14/2018 0:00,ETH/USDT,475.47,529,460,519.29,206093.0733,102374390,156597
6/15/2018 0:00,ETH/USDT,519.3,521,481.62,487.48,160532.5361,80145974.85,122246
6/16/2018 0:00,ETH/USDT,487.47,503.28,483.72,496.74,131095.4517,64919187.05,96076
6/17/2018 0:00,ETH/USDT,496.45,507.6,492.7,497.14,117316.9322,58745118.71,92111
6/18/2018 0:00,ETH/USDT,497.15,524.48,487.27,517.95,143826.6827,72402471.35,119818
6/19/2018 0:00,ETH/USDT,517.77,548.2,510.01,537.97,148148.3806,78382588.54,130777
6/20/2018 0:00,ETH/USDT,537.68,542.02,515.08,536.49,123892.0424,65285793.65,99322
6/21/2018 0:00,ETH/USDT,536.34,544.98,521.11,526.18,79862.90544,42586318.5,77470
6/22/2018 0:00,ETH/USDT,526.32,526.44,450,462.09,212659.5344,102306774.8,166517
6/23/2018 0:00,ETH/USDT,462.4,481,455,473.41,94465.26834,44316379.47,85397
6/24/2018 0:00,ETH/USDT,473.4,475.81,419.53,454.41,198264.1008,88505534.66,152764
6/25/2018 0:00,ETH/USDT,454.29,474.47,444.37,458.7,122942.1165,56436062.45,113720
6/26/2018 0:00,ETH/USDT,459.04,460.81,429,429.34,84003.09976,37307967.11,64251
6/27/2018 0:00,ETH/USDT,429.81,445.95,420.19,441.64,99156.36437,42947280.72,73853
6/28/2018 0:00,ETH/USDT,441.36,443.96,416.45,420.22,112309.5671,48557224.77,120860
6/29/2018 0:00,ETH/USDT,420.48,442,404.48,434.77,159495.3094,66573394.28,114615
6/30/2018 0:00,ETH/USDT,434.77,463.15,434.51,454.09,157169.2024,70748384.85,105384
7/1/2018 0:00,ETH/USDT,454.2,457.77,443.73,452.1,111226.6285,50173671.42,78500
7/2/2018 0:00,ETH/USDT,452.14,481.83,444.16,476.25,182585.1102,84408714.71,135295
7/3/2018 0:00,ETH/USDT,476.32,486.98,457,461.82,186954.5548,88130206.05,139942
7/4/2018 0:00,ETH/USDT,461.78,482.7,458.02,467.38,101886.202,48042056.08,81396
7/5/2018 0:00,ETH/USDT,467.19,480,458.8,467.87,125806.0083,59119270.52,113667
7/6/2018 0:00,ETH/USDT,467.79,476,451.29,470.47,100428.648,46633547.17,94081
7/7/2018 0:00,ETH/USDT,470.48,487.99,461.5,485.57,83629.95382,39311721.86,75732
7/8/2018 0:00,ETH/USDT,485.57,495.98,482.05,486.77,144703.1363,70523945.99,104195
7/9/2018 0:00,ETH/USDT,486.55,488.98,468.2,471.71,89532.14109,42954426.84,75974
7/10/2018 0:00,ETH/USDT,471.73,473.23,427.69,432.48,173640.9762,77742521.13,121085
7/11/2018 0:00,ETH/USDT,432.55,452.69,424.2,444.99,159022.5973,69570597.67,112252
7/12/2018 0:00,ETH/USDT,444.99,445.36,416.94,431.14,181877.0792,78631113.03,111503
7/13/2018 0:00,ETH/USDT,431.14,442.47,424.62,432.46,150320.3253,65466673.8,99117
7/14/2018 0:00,ETH/USDT,432.43,440,428.26,433.19,122253.694,53029892.4,79509
7/15/2018 0:00,ETH/USDT,433.2,455,430.52,449.78,140415.2705,62248916.06,78257
7/16/2018 0:00,ETH/USDT,449.79,480.57,444.03,478.49,172440.7134,80398354.46,116672
7/17/2018 0:00,ETH/USDT,478.49,512,465.29,498.76,215318.0676,104290230.2,144066
7/18/2018 0:00,ETH/USDT,498.89,515.47,468.01,479.41,236137.8071,116671540.5,173309
7/19/2018 0:00,ETH/USDT,479.4,484.15,462.57,468.57,171308.0671,81153216.49,121771
7/20/2018 0:00,ETH/USDT,468.7,471.02,440,449.04,160873.3824,73878492.44,123785
7/21/2018 0:00,ETH/USDT,449.04,468.97,441.18,460.23,74259.64067,34051603.36,66636
7/22/2018 0:00,ETH/USDT,460.23,472.2,454.19,457.47,60684.89595,28129475.21,53867
7/23/2018 0:00,ETH/USDT,457.47,469.82,447.11,450.05,106561.4608,49054903.28,86295
7/24/2018 0:00,ETH/USDT,450.05,484.27,448.47,479.28,158286.759,74269738.42,112642
7/25/2018 0:00,ETH/USDT,479.24,485.77,464,472.1,170475.5494,80868121.11,118086
7/26/2018 0:00,ETH/USDT,472.11,485,460,462.64,173976.2192,82819272.57,107846
7/27/2018 0:00,ETH/USDT,462.17,474,455.84,470.09,198304.7921,92234746.46,108861
7/28/2018 0:00,ETH/USDT,470.09,472,460.82,469.29,156862.5936,73310723.78,81561
7/29/2018 0:00,ETH/USDT,468.44,472,461.6,466.4,138747.5633,64627164.92,79843
7/30/2018 0:00,ETH/USDT,466.4,469.79,446.1,456.23,179581.7942,82428123.81,103093
7/31/2018 0:00,ETH/USDT,456.19,457.3,427,432.22,214913.5723,94399725.75,117935
8/1/2018 0:00,ETH/USDT,432.2,434.99,406.55,420.41,209570.0844,88066594.01,122508
8/2/2018 0:00,ETH/USDT,420.37,425.52,407.43,410.62,178421.1067,74102793.63,103504
8/3/2018 0:00,ETH/USDT,410.62,420.01,396.61,417.52,201156.6115,82442762.71,122785
8/4/2018 0:00,ETH/USDT,417.58,419.53,401.86,407.21,179498.5752,73796154.8,102597
8/5/2018 0:00,ETH/USDT,407.21,413.24,400.16,408.79,158913.7721,64593904.84,78475
8/6/2018 0:00,ETH/USDT,408.77,413.28,397.08,405.28,166496.4247,67757484.94,98135
8/7/2018 0:00,ETH/USDT,405.19,412.76,369.19,378.21,207706.1108,83083795.05,123346
8/8/2018 0:00,ETH/USDT,378.2,380.42,347.25,355.48,275047.1079,100391980.2,170291
8/9/2018 0:00,ETH/USDT,355.48,369.9,350.51,363.3,244268.2057,88131409.54,137786
8/10/2018 0:00,ETH/USDT,363.21,365.87,325.95,331.81,264274.1338,93178451.14,165093
8/11/2018 0:00,ETH/USDT,331.88,332.98,304.45,317.69,335634.6724,106734997.2,167715
8/12/2018 0:00,ETH/USDT,317.49,327.13,313.42,317.89,135524.7999,43466733.75,77747
8/13/2018 0:00,ETH/USDT,317.96,321.99,280.68,283.81,307713.2221,94158006.49,141534
8/14/2018 0:00,ETH/USDT,283.81,283.81,250,278.41,485174.3754,127753385,221194
8/15/2018 0:00,ETH/USDT,278.47,304.45,276.3,281.12,438620.6416,126037140.7,198830
