Name,Code,Date,Open,Close,High,Low,Volume,First,Last
S*Mobarakeh Steel-a,FOLD,20180630,1196,1196.56,1231,1162,98181934,1198.34,1180.82
S*Mobarakeh Steel-a,FOLD,20180701,1197,1144.89,1182,1137,124521862,1170.13,1143.40
S*Mobarakeh Steel-a,FOLD,20180702,1145,1176.96,1194,1144,61392817,1143.70,1187.36
S*Mobarakeh Steel-a,FOLD,20180703,1177,1226.85,1236,1189,90416960,1199.83,1230.42
S*Mobarakeh Steel-a,FOLD,20180704,1227,1226.26,1250,1191,57360799,1247.35,1214.68
S*Mobarakeh Steel-a,FOLD,20180707,1226,1186.17,1217,1171,55146314,1216.76,1173.10
S*Mobarakeh Steel-a,FOLD,20180708,1186,1177.26,1185,1173,25279568,1182.01,1176.66
S*Mobarakeh Steel-a,FOLD,20180710,1177,1188.25,1218,1180,52885260,1187.95,1182.01
S*Mobarakeh Steel-a,FOLD,20180711,1188,1163.89,1178,1150,43621201,1177.55,1158.25
S*Mobarakeh Steel-a,FOLD,20180714,1164,1139.24,1170,1128,40962049,1167.16,1128.55
S*Mobarakeh Steel-a,FOLD,20180715,1139,1130.63,1142,1120,28922585,1131.52,1141.62
S*Mobarakeh Steel-a,FOLD,20180716,1131,1134.49,1152,1129,23900477,1132.71,1128.85
S*Mobarakeh Steel-a,FOLD,20180717,1134,1125.58,1134,1120,59328181,1134.49,1126.18
S*Mobarakeh Steel-a,FOLD,20180723,1126,1153.88,1160,1145,46456843,1157.70,1151.02
S*Mobarakeh Steel-a,FOLD,20180724,1154,1145.61,1164,1132,36442057,1156.74,1144.02
S*Mobarakeh Steel-a,FOLD,20180725,1146,1163.42,1191,1142,57927106,1144.66,1182.81
S*Mobarakeh Steel-a,FOLD,20180728,1163,1221.29,1221,1218,54179527,1221.29,1221.29
S*Mobarakeh Steel-a,FOLD,20180729,1221,1274.71,1282,1243,137902254,1282.34,1282.34
S*Mobarakeh Steel-a,FOLD,20180730,1275,1336.07,1338,1288,135735293,1299.82,1338.30
S*Mobarakeh Steel-a,FOLD,20180731,1336,1402.84,1403,1403,30934240,1402.84,1402.84
S*Mobarakeh Steel-a,FOLD,20180801,1403,1411.11,1443,1375,192234557,1442.91,1395.85
S*Mobarakeh Steel-a,FOLD,20180804,1411,1402.53,1431,1378,116527538,1395.53,1430.82
S*Mobarakeh Steel-a,FOLD,20180805,1403,1471.21,1472,1439,260608113,1438.77,1472.48
S*Mobarakeh Steel-a,FOLD,20180806,1471,1542.43,1545,1495,402745783,1544.65,1507.13
S*Mobarakeh Steel-a,FOLD,20180807,1542,1537.66,1580,1485,157241306,1516.67,1510.31
